ID: 2, Название игрушки: Кукла, количество: 9, вес 35, материал: Резина
ID: 2, Название игрушки: Кукла, количество: 8, вес 35, материал: Резина
ID: 3, Название игрушки: Конструктор замок, количество: 9, вес 50, материал: Пластик
ID: 2, Название игрушки: Кукла, количество: 7, вес 35, материал: Резина
ID: 3, Название игрушки: Конструктор замок, количество: 8, вес 50, материал: Пластик
ID: 5, Название игрушки: Малый мишка, количество: 9, вес 20, материал: Мягкая
ID: 1, Название игрушки: Мяч, количество: 9, вес 20, материал: Резина
ID: 5, Название игрушки: Малый мишка, количество: 8, вес 20, материал: Мягкая
ID: 6, Название игрушки: Средний мишка, количество: 9, вес 45, материал: Мягкая
ID: 1, Название игрушки: Мяч, количество: 8, вес 20, материал: Резина
ID: 3, Название игрушки: Конструктор замок, количество: 7, вес 50, материал: Пластик
ID: 5, Название игрушки: Малый мишка, количество: 7, вес 20, материал: Мягкая
ID: 3, Название игрушки: Конструктор замок, количество: 6, вес 50, материал: Пластик
ID: 6, Название игрушки: Средний мишка, количество: 8, вес 45, материал: Мягкая
ID: 2, Название игрушки: Кукла, количество: 6, вес 35, материал: Резина
ID: 1, Название игрушки: Мяч, количество: 7, вес 20, материал: Резина
ID: 3, Название игрушки: Конструктор замок, количество: 5, вес 50, материал: Пластик
ID: 1, Название игрушки: Мяч, количество: 6, вес 20, материал: Резина
ID: 2, Название игрушки: Кукла, количество: 5, вес 35, материал: Резина
ID: 5, Название игрушки: Малый мишка, количество: 6, вес 20, материал: Мягкая
